,count,mean,std,min,25%,50%,75%,max
user_id,150000.0,74999.5,43301.4145,0.0,37499.75,74999.5,112499.25,149999.0
user_values,150000.0,57.072,42.4258,-3.0,33.0,47.0,69.0,2455.0
useminutes,150000.0,507.8588,511.1677,-1.0,151.0,353.0,699.0,8090.0
over_useminutes,150000.0,38.7119,88.1136,-1.0,0.0,5.0,41.0,4320.0
over_cost,150000.0,12.4679,27.5086,-1.0,0.0,1.0,13.0,896.0
voicecost,150000.0,12.2489,27.1879,-1.0,0.0,1.0,13.0,896.0
overdata_cost,150000.0,0.1735,2.2059,-1.0,0.0,0.0,0.0,242.0
roaming_callcounts,150000.0,1.0205,10.5277,-1.0,0.0,0.0,0.0,2264.0
useminutes_percentchange_before_threemonth,150000.0,-14.5111,244.8567,-3875.0,-80.0,-6.0,54.0,20206.0
cost_percentchange_before_threemonth,150000.0,-0.97,39.8666,-1107.0,-6.0,0.0,1.0,6339.0
miss_callcounts,150000.0,27.0609,35.9598,0.0,5.0,16.0,35.0,848.0
try_usedata_counts,150000.0,0.7189,7.8056,0.0,0.0,0.0,0.0,733.0
answercounts,150000.0,54.5965,83.4401,0.0,6.0,27.0,71.0,3369.0
complete_usedata_counts,150000.0,0.6384,6.9827,0.0,0.0,0.0,0.0,559.0
customerservice_callcounts,150000.0,1.4813,4.578,0.0,0.0,0.0,1.0,675.0
customerservice_useminutes,150000.0,4.2659,11.3716,0.0,0.0,0.0,4.0,861.0
conferencecall_counts,150000.0,0.139,0.8894,0.0,0.0,0.0,0.0,64.0
inAndout_callcounts_PVC,150000.0,88.4038,100.1492,0.0,23.0,61.0,119.0,2090.0
incomplete_minutes_PVC,150000.0,173.9394,200.5746,0.0,41.0,118.0,233.0,4015.0
callcounts_NPVC,150000.0,65.3365,88.009,0.0,11.0,35.0,86.0,1643.0
drop_callcounts,150000.0,9.4698,14.1482,0.0,1.0,5.0,12.0,489.0
forward_callcounts,150000.0,0.0096,0.4956,0.0,0.0,0.0,0.0,81.0
wait_callcounts,150000.0,1.4773,4.8962,0.0,0.0,0.0,1.0,212.0
user_spend_limit,150000.0,0.0887,0.2843,0.0,0.0,0.0,0.0,1.0
