user_id,dualband_capability,phonenetwork,newphoneuser,phone_usedays,phoneprice
0,0,0,0,325,705
1,1,0,0,90,1399
2,1,0,0,285,927
3,0,0,0,738,232
4,1,0,0,332,699
5,0,1,0,357,209
6,0,0,0,80,209
7,1,0,0,275,356
8,1,0,0,544,1049
9,0,0,0,213,209
10,1,0,0,188,699
11,0,1,0,258,705
12,0,0,0,31,705
13,0,0,0,173,665
14,0,0,0,217,662
15,1,0,0,216,1399
16,1,0,0,153,1049
17,1,2,1,479,705
18,1,0,0,234,1399
19,1,0,0,328,909
20,0,0,0,151,909
21,0,0,0,194,859
22,1,0,0,333,559
23,0,1,0,25,705
24,1,0,0,388,909
25,0,0,1,191,712
26,1,0,1,345,419
27,0,1,0,864,209
28,1,0,0,161,705
29,1,0,0,790,419
30,1,0,0,278,1399
31,1,0,1,201,209
32,1,0,0,206,559
33,0,2,0,611,705
34,1,2,0,762,209
35,1,0,0,541,559
36,0,1,0,558,209
37,0,2,0,1055,209
38,0,1,1,846,209
39,1,0,0,498,1399
40,1,0,0,192,918
41,1,0,0,403,1049
42,0,0,0,297,913
43,0,0,1,453,999
44,1,0,0,417,1049
45,0,1,0,603,705
46,1,0,0,616,1049
47,1,0,0,343,1049
48,0,0,0,317,1008
49,0,1,1,763,209
50,0,0,0,94,480
51,1,0,0,278,909
52,0,0,0,100,220
53,0,2,0,1098,209
54,1,0,0,491,1399
55,0,0,0,212,902
56,0,1,0,667,209
57,0,0,0,356,909
58,1,0,0,119,1399
59,1,0,0,425,909
60,1,0,0,183,699
61,0,0,0,390,909
62,1,0,0,78,1399
63,0,0,0,565,909
64,1,0,0,246,1113
65,0,2,0,1010,209
66,1,0,0,358,1399
67,0,0,0,308,1000
68,1,0,0,23,1049
69,1,0,0,184,1399
70,1,1,0,376,705
71,0,1,0,237,419
72,1,2,0,751,209
73,1,0,0,350,1049
74,0,1,0,380,209
75,0,0,1,91,909
76,1,1,0,474,294
77,1,1,0,761,209
78,1,0,0,157,1076
79,1,0,0,251,909
80,1,1,0,681,705
81,1,0,0,335,1049
82,1,0,1,101,1399
83,0,1,0,728,209
84,1,0,0,275,1049
85,1,0,0,503,1049
86,1,0,1,142,1049
87,1,0,0,239,1049
88,1,0,0,751,419
89,1,0,0,116,699
90,1,0,1,773,419
91,1,0,1,364,944
92,1,0,0,503,559
93,1,0,0,316,1399
94,1,0,0,462,1022
95,0,0,0,478,1048
96,1,0,0,201,1399
