phone_usedays,phoneprice,value_level
325,705,1
90,1399,2
285,927,3
738,232,2
332,699,1
357,209,1
80,209,2
275,356,3
544,1049,1
213,209,1
188,699,2
258,705,2
31,705,1
173,665,2
217,662,3
216,1399,2
153,1049,2
479,705,2
234,1399,2
328,909,2
151,909,2
194,859,2
333,559,1
25,705,1
388,909,1
191,712,2
345,419,1
864,209,2
161,705,3
790,419,2
278,1399,2
201,209,2
206,559,2
611,705,1
762,209,3
541,559,2
558,209,1
1055,209,1
846,209,2
498,1399,2
192,918,2
403,1049,2
297,913,2
453,999,1
417,1049,3
603,705,1
616,1049,3
343,1049,2
317,1008,3
763,209,2
94,480,1
278,909,3
100,220,3
1098,209,1
491,1399,3
212,902,3
667,209,2
356,909,2
119,1399,2
425,909,2
183,699,1
390,909,1
78,1399,3
565,909,2
246,1113,2
1010,209,1
358,1399,1
308,1000,2
23,1049,2
184,1399,2
376,705,2
237,419,1
751,209,1
350,1049,3
380,209,3
91,909,2
474,294,2
761,209,1
157,1076,2
251,909,2
681,705,1
335,1049,2
101,1399,3
728,209,1
275,1049,3
503,1049,2
142,1049,2
239,1049,3
751,419,1
116,699,1
773,419,1
364,944,2
503,559,1
316,1399,1
462,1022,2
478,1048,3
201,1399,2
247,419,2
450,1362,3
324,961,3
202,1399,1
382,419,3
232,909,2
417,909,2
740,209,1
86,1049,2
221,909,1
486,1399,2
513,419,1
63,901,2
648,209,2
300,705,1
283,1040,3
382,1080,3
337,1049,1
955,209,1
464,209,2
323,419,1
53,1399,2
636,434,2
202,705,2
340,1049,2
69,559,3
328,1049,1
564,240,1
272,1049,1
50,705,3
596,419,1
347,1399,2
439,445,2
4,559,3
220,209,2
10,705,2
391,1399,2
242,1049,2
531,705,2
48,699,2
269,419,1
1101,209,1
190,1047,2
613,209,1
788,472,1
288,1049,2
376,1049,3
351,1049,1
221,1049,2
96,1049,2
747,209,2
404,209,2
753,209,2
341,909,2
181,699,2
326,1049,2
501,705,2
434,209,2
205,1399,1
342,1049,3
439,1399,2
203,955,1
292,699,3
832,209,2
437,209,3
303,1399,2
325,419,1
252,209,3
120,1049,2
275,1399,2
318,731,3
190,909,3
274,699,1
501,1049,2
220,662,2
138,209,2
333,1049,2
296,909,2
527,209,1
416,209,2
95,949,3
325,1399,2
480,1049,2
322,1399,3
272,699,2
344,1399,2
537,1049,1
465,1049,2
527,209,1
536,1000,2
783,209,3
328,862,1
243,954,2
155,909,2
358,559,1
563,705,1
818,209,2
278,1049,2
74,1259,2
190,705,2
307,559,3
221,1049,3
122,866,2
316,909,2
306,403,2
183,559,2
17,664,3
503,521,2
378,1049,2
335,956,2
83,1399,2
295,1399,1
574,419,1
256,705,1
871,419,2
101,209,3
335,705,3
301,1399,1
656,419,3
142,909,3
677,209,1
265,1049,1
384,1049,2
21,1399,2
692,705,2
1404,209,1
360,1399,2
139,372,3
68,705,2
390,1049,2
335,1399,2
211,1049,1
211,1399,2
108,209,2
267,699,2
714,209,2
563,419,1
727,293,2
402,419,1
287,909,1
193,693,2
204,934,2
482,354,2
759,705,3
549,330,2
283,1399,3
910,705,2
395,209,1
40,209,2
317,977,3
1023,209,1
183,2799,3
979,209,1
935,209,2
285,1043,2
190,1399,3
440,419,2
512,559,1
479,559,2
1049,209,1
641,705,2
522,209,2
969,209,2
284,1049,2
786,209,1
68,699,2
349,1049,1
385,463,2
394,705,2
353,925,3
499,1049,1
127,1330,3
264,1399,1
123,878,3
273,705,1
592,705,2
695,209,1
818,209,2
189,1399,3
852,209,1
388,909,2
489,1399,2
549,419,1
119,620,3
1182,209,1
59,990,2
250,419,1
494,559,3
292,909,2
484,559,2
179,1024,2
44,699,3
506,209,2
668,705,1
307,1399,3
184,699,2
282,209,1
125,609,2
339,559,1
791,547,1
1086,209,3
746,419,2
530,489,2
91,559,3
1080,209,1
369,909,3
351,1049,3
775,381,1
139,1049,2
392,1049,3
584,559,2
181,910,2
474,559,1
399,419,1
475,209,2
875,209,2
482,419,2
90,699,2
199,1049,3
639,705,1
369,1049,2
563,295,3
522,209,2
225,1049,1
220,1049,2
41,1399,3
63,909,2
699,705,2
692,209,1
388,1049,1
181,1399,1
614,209,1
234,1049,1
23,839,2
51,699,2
321,1399,3
84,705,2
397,419,2
439,419,1
193,909,2
406,926,3
793,209,2
230,909,3
219,788,2
371,699,2
417,935,1
415,1049,2
429,909,1
377,1049,2
187,596,2
728,505,1
314,1049,1
940,209,1
629,419,2
135,1016,2
356,705,3
505,705,1
431,559,3
214,1399,2
1060,209,1
295,419,2
337,909,1
439,209,2
10,1356,2
787,209,3
315,932,2
44,1049,3
319,1049,2
279,559,3
439,1049,2
319,1399,1
639,427,3
664,209,2
281,1399,3
657,559,1
116,1023,3
291,1018,3
255,1529,3
52,559,2
286,1049,2
315,514,2
388,1049,2
767,705,1
119,209,3
394,420,2
209,1049,1
426,559,3
419,1399,3
577,209,1
871,209,2
235,209,2
488,1049,1
94,699,1
445,623,2
821,209,1
601,1027,1
49,909,2
275,559,1
315,765,1
677,419,1
105,909,2
329,1399,1
359,740,2
742,209,1
327,209,2
228,1399,2
745,209,2
536,315,2
804,209,2
580,559,2
311,710,2
262,559,2
246,699,2
57,419,2
294,1049,3
245,1399,3
724,460,2
256,1049,2
415,559,3
661,419,1
226,909,2
392,209,1
94,699,2
292,705,1
259,209,3
688,1399,2
179,1015,2
696,209,3
416,1049,1
320,699,3
116,686,3
200,1049,2
548,1049,1
186,677,3
40,909,3
367,1049,2
9,1399,3
282,1049,1
518,513,3
333,699,2
319,209,1
268,279,2
233,419,1
331,209,1
1003,209,1
640,705,1
499,705,2
306,209,2
58,699,3
629,209,3
373,419,3
