user_id,region,marriage_counts,adults_numbers_family,expect_income,has_creditcard,totalemployed_months,activeusers_family,credit_rating
0,7,2,1,3,1,10,1,3
1,13,3,1,0,1,11,1,1
2,14,2,4,6,0,26,1,1
3,1,3,1,5,1,24,1,4
4,0,1,2,3,0,11,1,4
5,9,1,3,6,0,25,3,9
6,18,3,2,7,0,11,2,9
7,14,1,1,4,0,24,1,38
8,6,1,4,7,0,18,1,9
9,11,1,4,8,0,24,1,2
10,10,2,3,1,0,26,2,9
11,18,1,2,5,0,11,1,8
12,9,0,3,6,0,36,1,18
13,0,2,1,0,0,14,1,4
14,9,0,1,8,0,19,1,3
15,11,0,5,7,0,17,1,8
16,12,3,3,5,1,18,3,9
17,0,3,2,5,1,16,2,0
18,2,1,2,9,0,8,2,0
19,11,1,3,5,0,11,1,1
20,6,1,2,1,0,8,1,22
21,13,2,1,0,1,18,1,1
22,3,2,1,3,1,11,1,4
23,17,2,3,6,0,13,2,9
24,3,1,3,9,0,13,1,9
25,0,2,2,6,0,14,2,8
26,4,1,3,6,0,11,1,9
27,5,3,5,5,0,29,1,0
28,10,1,2,3,0,21,1,8
29,7,2,3,1,0,26,1,4
30,12,2,1,0,0,42,1,9
31,8,1,4,6,0,11,1,7
32,1,1,3,1,0,7,1,17
33,11,1,1,6,0,54,1,0
34,16,4,1,5,1,27,1,0
35,10,2,5,1,0,18,1,14
36,11,2,1,0,0,18,1,9
37,10,1,4,3,0,35,1,0
38,4,2,2,6,0,28,2,4
39,5,0,2,5,0,16,1,8
40,1,2,2,6,0,7,1,20
41,4,1,3,6,0,13,1,5
42,0,0,1,4,0,10,1,7
43,2,0,1,2,0,41,1,3
44,12,3,1,7,0,13,1,8
45,6,0,4,4,0,20,1,11
46,18,3,1,7,1,35,1,4
47,10,3,1,5,0,11,1,14
48,13,2,4,8,0,11,2,9
49,14,3,2,5,1,26,2,0
50,7,1,2,4,0,12,2,4
51,9,3,1,5,1,9,1,1
52,3,2,2,6,0,30,1,4
53,12,1,5,6,0,37,2,0
54,18,3,1,5,1,17,1,9
55,0,0,1,3,0,18,2,8
56,12,1,2,4,0,22,1,5
57,3,3,1,5,1,17,1,9
58,1,0,1,7,0,24,1,4
59,16,0,1,8,1,19,1,17
60,9,1,3,7,0,25,1,4
61,12,0,2,2,0,13,2,4
62,13,3,1,5,1,11,1,4
63,9,1,1,4,0,33,1,5
64,2,3,1,0,0,7,1,4
65,12,3,2,6,0,33,1,0
66,3,0,3,6,0,12,1,4
67,9,1,3,6,0,10,1,14
68,11,0,3,5,0,9,1,4
69,8,3,1,6,0,6,1,9
70,12,3,1,5,1,12,1,17
71,12,3,1,5,1,8,1,24
72,7,1,2,6,0,25,1,9
73,9,1,1,4,0,11,1,9
74,17,3,1,5,1,13,1,9
75,12,4,1,3,1,49,2,3
76,4,0,3,4,0,15,1,4
77,13,0,3,8,0,25,3,0
78,10,3,1,0,0,21,1,22
79,11,3,2,0,0,9,1,4
80,16,0,1,5,0,22,1,0
81,12,3,1,6,0,12,1,9
82,11,3,1,5,1,10,1,17
83,14,1,3,6,0,24,1,0
84,3,3,1,6,1,9,1,1
85,12,0,3,5,0,17,1,9
86,13,2,2,7,0,19,1,1
87,13,1,5,6,0,8,1,7
88,11,3,3,4,0,25,1,4
89,9,0,1,1,0,14,1,9
90,0,4,1,7,0,26,2,9
91,9,2,1,1,0,12,1,7
92,7,0,1,5,0,17,1,0
93,7,3,3,4,0,11,2,9
94,18,0,1,4,0,20,1,7
95,16,3,1,0,1,15,1,4
96,11,1,2,7,0,7,1,9
97,14,3,1,5,1,8,1,24
98,15,3,1,5,0,15,1,8
99,5,1,3,5,0,11,1,4
100,15,2,1,0,0,7,1,32
101,2,3,1,5,1,13,1,4
102,16,3,6,7,0,8,1,9
103,18,3,1,5,1,14,1,24
104,12,3,3,3,0,25,3,9
105,6,0,3,3,0,29,3,9
106,13,1,1,6,0,7,2,6
107,10,0,4,4,0,30,1,3
108,12,1,3,3,0,17,1,9
109,11,0,3,8,0,24,1,6
110,18,1,4,9,0,36,1,3
111,0,4,1,8,0,30,1,0
112,0,3,2,6,0,10,1,7
113,3,3,1,0,0,12,1,4
114,16,1,2,5,0,11,1,4
115,4,1,3,5,0,32,1,34
116,3,3,1,7,0,15,2,9
117,3,1,4,9,0,11,3,0
118,9,2,4,1,0,34,1,3
119,15,3,1,4,1,21,1,9
120,7,3,2,6,0,25,1,9
121,12,0,3,6,0,19,1,2
122,13,0,5,3,0,19,1,24
123,5,3,1,5,0,12,1,8
124,7,1,1,5,0,29,1,3
125,0,1,2,3,0,12,1,7
